3D small cj84ru87u.3bp6dj94cj84a86？	3D small 畫家有人會畫嗎？
short z83dj/ jo6g6ak794 short z84？	short 髮控為什麼愛 short 髮？
so3su3w96gji jo4g6ak794 long z84a83	那你能說為什麼愛 long 髮嗎
ai410 tk ul  open xul3	末班車要 open 了
rm y7ql6y94el ru842j04cp3gj zj6， new rm 504cp3vu04294cji4，z.3vu k4	車子跑在高架段很舒服， new 車站很現代化，不錯啊
nj04s93mp4vu4 good cd5j/ 	算妳運氣 good cd中
u.3ao6u.42u4vu84fu065j; y9 g4su32u4 good q/6u.3？	有沒有地下錢莊才是你的 good 朋友？
good vup4zp4gjo4z.35l e9 yp3ak7104??	good 興奮睡不著該怎麼辦??
new 5j4up gj bj4z83jo6g6ak7ul3q86t;6m/4y4wu 2l4hji c.4au04	new 注音輸入法為什麼要把常用字踢到最後面
jo3ao6u.3ep  professor wl3xjp4paper2u418 ej84	有沒有跟 professor 討論paper的八卦
small z0 fu,6vu ej8 cj;3eji3gjo3au4wl6vu; ful6	small 番茄西瓜芒果水蜜桃香蕉
new 2u04au04fu0 aj4u62u/4ul z;41u0 ql4？	new 店面開幕一定要放鞭炮？
professor yji 5;4vu86z8 qul ，wk4u,4rul4g/ d0 1l453h965 2l4。	professor 作帳假發票，職業學生看報紙才知道。
m/3tj0  good s04t  ji3g;4h42u4u4h6fm fu 	永川 good 難吃 我上次第一次去吃
1j6g4u.4tj g/ up ru.4dji4vu;4 good a86?	不是有出聲音就會像 good 嘛?
g.3ru  full u 5965. t962k7ej84？	手機 full 意度調查的卦？
2u042j/4tk 2u6fm,4qu6rm,6cj061l3ao6vu  vul4xm45j03cj04qu6u.4tk  good	電動車的確比較環保沒錯 效率轉換比油車 good
fm4vu. 1j4m/4zp4fm zj4ej42u6dk4z.3ru.4 good xk7	去修不用分組報告的課不就 good 了
h965m,4 w962u04h;62u04fu qu04n4j0 bp6( open x/3fu4	才5月 台電藏電欺騙台灣人( open 冷氣
ru.40 q96 good 2u6bp6 vu84u jo4.....	就安排 good 的人 下一位.....
g6ak7fu/6dj;4vu84z. dji4vm03s93 large 2u ?	什麼情況下不會選奶 large 的?
y94w96j0  open yjo4ru;4z/  easy ej45; 	在台灣 open 最強風 easy 故障
tj6xk7u3u865j/  good ，gji4c96dk3u3，fu6w8 ru.4cj86___t/62j4	除了醫牙中 good ，藥還可以，其他就學___程度
co g93g8 ai42u6cj8454ep 1p3ao6s84ak7 good ？	黑色沙漠的畫質根本沒那麼 good ？
ru04vm06u 2jo ai6m/4ru04；jo4gp6ak7z. tj/6vup gk4ru4 new ru04vm06	鍵盤一堆無用鍵；為什麼不重新設計 new 鍵盤
e0  fu; n0  small	幹 嗆三 small
close w96j0 qu4y4	close 臺灣屁事
u6j0 bp6g41j6g41j6e.4ejo4zj cjo4 buy	台灣人是不是不夠貴不會 buy
gji z0 84wu6up jo6 w96j0  sell 2u qu6fu6w8  high nji32k7eji6ru,7vm06ejo4	說潘阿是因為 台灣 sell 的比其他 high 所得國家還貴
2l42l4j6z83 accept 2u4g454 b06c.41/ djo4	受到無法 accept 的事實 然後崩潰
jo4x962k7ru/4u/65 gp6u,6, fast q86ru4	未來的經營之神耶, fast 把結
good co 86，2u4u65; co 2l4d041j4fu/ tj3XD good vu;3u;4co al …	good 黑啊，第一張黑到看不清楚XD good 想養黑貓…
o4n0  small ek6 ,4,4o3vu,493o4vu,4o6o ,4o493o6vu,4,3o693	欸三 small 蛤 欸欸欸欸欸欸欸欸欸欸欸欸欸欸欸欸欸
1u32u04ru;454 close ru dji4 bad a84？	筆電強制 close 機會 bad 嗎？
g6j4cji4g/42u6g6294fu065k3qu3vul4 good 294ru d; 2k7g6c.4c.45k3qu3vul4 good	食物過剩的時代前者比較 good 大飢荒的時候後者比較 good
el4ru6nj0 wu/ z.32j/32u6bp6ru.45j93u6qu3rul4 good	高級酸聽不懂的人就轉台比較 good
u.4ao6u.3w96j0 ru3vm,6z83xm4 background 2u6t6xu32u6186ej84	有沒有台灣給學法律 background 的治理的八卦
ji3y94ao3eji62j  buy 5k4q96， cheap	我在美國都 buy 這牌， cheap
ql6ql3d832u/ tk 2k7wj6au/4tp4fm32k6 good wu/ 2k7186ej84	跑跑卡丁車地圖名稱取得 good 聽的八卦
1i6ql62u/ d83rm ，5j0 ap61u tk ru03tk 2u6n0 1l3，8+9yjo4942u  job	跑跑丁卡車，專門逼車剪車的三寶，8+9最愛的 job
idol sm4tj06s83u6ek4 short g6ru045j042u6u/6n0 g;32k7?	idol 女團哪一個 short 時間賺的贏三上的?
wk4ru6tj6g dl3cj86204su.6b.487ru g dj94 full zp6a84	特級廚師考滑蛋牛肉阿基師會 full 分嗎
u.3bp6t eji7tj06wj/3b4g4 breakfast a86？	有人吃過傳統日式 breakfast 嗎？
ji3u456rm,62k6s83ek4wj06ru.4sm42u ru.4 good xul3xu;4ek4s062u cp394u03	我一直覺得那個團就女的就 good 了兩個男的很愛演
good x8 ，vu0 1; 1j3	good 啦，先幫補
breakfast 2k7xu;61u04gl4xul4	breakfast 的量變少了
wu6su3g.31u04zo6xul4 1j6g4 breakfast 1u04vul3xul4	是你手變肥了 不是 breakfast 變小了
a/62l4sl32942.  bad xk7	萌到腦袋都 bad 了
cp3cl48  cji4xj4zj6u4ej/ xu7g. j3dj94ru.4 good xk7	很好啊 過路費一公里收五塊就 good 了
50 xji3w;6 good sji6fu  QQ	沾果糖 good 難吃 QQ
u04al6w.6 good 294	這貓頭 good 大
5; cj84vm065jp31o4 good xul3？	彰化縣準備 good 了？
5ji61o4 good g6ak7	準備 good 什麼
2j6eji6xu4dk 294u06ru. nji3CP56 high a84	讀國立科大研究所CP值 high 嗎
yj/ ru,6ru.4g45/4bp45l 1j62l4 good vm,6g/ y4ru3z.3	總結就是承認招不到 good 學生自己不
vu03z84g32u wj6 good sul384	洗髮屎的圖 good 鳥啊
u4fmp62j42j4e9 j06g6ak7 good	一群宅宅該玩什麼 good
ji3tl jp b.62u ☺ 8 su3wa hji c.4u4fm6g4y94fu; n0  small k4c86	我超溫柔的☺ 啊你ㄊㄇ最後一句是在嗆三 small 啊蛤
agree wul6vup xu3au04ru8 su3m03u eo3xup61o ru03jo3dl4w.7a83	agree 條款裡面加你願意給林杯錢有搞頭嗎
41J fast u.42jo4g.3xul3a84	41J fast 有對手了嗎
gl4x96 fm4ao3ek3vu/ yji4103po u62u/4u.3bp6gji  good 5jp3	少來 去每個星座版po 一定有人說 good 準
n4t86al6u045j/4wu w94cp3 easy g.4ru/ 	四叉貓這種體態很 easy 受驚
vul3vup u03vu041j42k61u,6bp6 good 94ru4rul4 ji3g4gji ji3.3eji42u6k6vu vu 	小心眼見不得別人 good 愛計較 我是說我遇過的哦嘻嘻
vu;3rup41;4vu,6 job e9 rm41o4gp6ak7s/6xu4？	想進棒協 job 該俱備什麼能力？
ji3wj/4rul41u4u,4ru6zp g.3 a83g;3cj04 new 2u6 ru62j4	我同學畢業即分手 馬上換 new 的 嫉妒
e; e; fm u t6d0 xk7u6vu84 s93sm42u tl4ru6 ugly e04	剛剛去伊莉看了一下 那女的超級 ugly 幹
s061j4cp32ji  jo3so45j/3 large n4xul6wj/32k7vm03u ek3	南部很多 有那種 large 飼料桶的選一個
vm,6xu;3rup sji6vu;4m0 1j6ru.4 good xul4	學兩津那樣穿不就 good 了
vu04y94y94n4j0 2u  large fu3u,4vm/61j4s/6t/4g6su062. cp3sji6ru;3	現在在台灣的 large 企業能不能稱十年都很難講
gp6ak7g/4ru,6204ALTzp3 u3g;4fm06q.32. g4 good a87	什麼聖潔石ALT粉 以上全部都是 good 嗎
wu0 fu4 good cold yp3ak7104	天氣 good cold 怎麼辦
5k42ji4 cold 2j g.41j4xul3su3y4ji3xul32j04187~	這點 cold 都受不了你自我了斷吧~
cjo6fm z0 u6vu84xu3cj8 dk41p3 good a87	回去翻一下理化課本 good 嗎
5;4xul6vu,3c.4xu04196t  noob 2j dji4j06 el gjp4vm,41j4z.3dj945j8 g6ru03gjp4g4	張遼血厚連白痴 noob 都會玩 高順血薄不會抓時間瞬殺
rup q96k4k4vm06jo3u6j0 2u6qu6ru.3cp3 cheap good a83	金牌啊啊還有台灣的啤酒很 cheap good 嗎
a832u6284104u,4al3fu3x96a/3e94x.6g4n0  small cl3j06a87	馬的大半夜卯起來猛蓋樓是三 small 好玩嗎
hji c.4u 5; 5p 2k7 good ejo3u4	最後一張真的 good 詭異
103g;3jo32ji gl3bp65jp31o4 good rup j03ep sm3g/ ej41i62u ?	板上有多少人準備 good 今晚跟女生告白的?
54ru03u.3bp6gji w8 cjo4 open t/ ，1u4wu ru03u g/ 5j04fm 2; wu4294u4	之前有人說他會 open 槍，被體檢醫生轉去當替代役
u.4ao6u.3u6ao3 job 2u4ej848 ？	有沒有義美 job 的卦啊？
sji62u42l42u cj84ji3d04 small 2u/ xu/62u wj6q04286____	掉的到的話我看 small 叮鈴的圖片打____
5 fu06cjo6d0 up6x;4g6，yp3ak7dj945o4ak75j/ -4， small g6c.4rm,62k7cp3dj4gji 	之前回看銀狼時，怎麼會這麼中二， small 時候覺得很酷說
u4q.31i6tk xji6，su3ap4ru4vm4au,418 5j4su3ap6 good mp4m4！2jo4xul4，ji32k7	一部跑車囉，你們繼續滅吧祝你們 good 運唷！對了，我的
#cj04gj u,31j4vu/6ji #su3zj dj94ep fu6w8 rul4rul42u6 buy	#換書也不行喔#你不會跟其他學校的 buy
y3ej/  good nl w/6	子宮 good 騷疼
1o3c06bp62jo4j94eji6bp62u4 idea ?	北韓人對外國人的 idea ?
u g4tj0 e; n0 g4dk s8 2u4 large ai6j;6a87	伊勢川剛三是柯南的 large 魔王嗎
5j/ eji6ru.4nj04njp  large w.7wj/3u4s061u0 u62j/41j4xul3a035. eji6，ru83j35045/ ru.4	中國就算孫 large 頭統一南邊也動不了滿洲國，甲午戰爭就
jo320000m06e9  buy vu;4fup 2u6 schedule vm06g4ps4?	有20000元該 buy 相親的 schedule 還是ps4?
su3rm,62o3cp3x04 u04wu6w8 c93j94 sell 2u qu3ao3eji6c96 good	你覺得很爛 但是他海外 sell 的比美國還 good
zj3w.61; y945o4ru, z;  open u6ek4w;6，su3ru.4wu6w;65j3	斧頭幫在這街坊 open 一個堂，你就是堂主
fu/6jp4u.4ao6u.4Ptt web server ej84sji62u6186ej84?	請問有沒有Ptt web server 掛掉的八卦?
e0 ，aj3n0 vul3，au n0  small	幹，姆三小，咪三 small
2007g6su06 in gp6ak7?	2007時年 in 什麼?
94504jo4， good 1j62j/3xu3ai42k7bp6	愛佔位， good 不懂禮貌的人
bp6g/ yjo4gj; g6ej; wu6e; 5l32l4jp32u/4 job s93g6a87?	人生最爽時光是剛找到穩定 job 那時嗎?
aup6ru03vup4u;3hj/ vul3rul4su3dl4 close vu4y.3c.4ap6nj/4cjo4xj4，w8 gji 2k7ao6hj4	民間信仰從小教你搞 close 係走後門送賄賂，他說得沒錯
xl3g wu4ek3184rul4g/  photo gk4t/6g.3ru 5ji 1j4a83	老師適合把學生 photo 設成手機桌布嗎
xl3g 2u6vu; gjo3 good vu; 	老師的香水 good 香
b4y7 good eji7g6ru04c04ru.4cp3dj94，ji3e03rul4yjo4a062k7wu62;71u/ so3ru su06	日子 good 過時間感就很快，我感覺最慢的是當兵那幾年
u.4ao6u.4 low bjo4u041j6 low bjo42u 18 ej84？	有沒有 low 鈉鹽不 low 鈉的八卦？
y94yp3vu;42. 1u4so4vu, Xcji yjpyjp 2u ek3ck4 good x8 	再怎樣都比那些X火、ㄗㄨㄣ、ㄗㄨㄣ的葛格 good 啦
professor 2j yp3ak7tj4xu3cj86g/ vu,32k7zj4el48 ？	professor 都怎麼處理學生寫的報告啊？
e9 1j6dji4u.3bp6n4ru/4ejo4cj84 good eji4su/4xu04vu862. tk4y94ru8 	該不會有人已經規劃 good 過年連假都宅在家
su3cj06wu6 buy 0050q8 	你還是 buy 0050吧
cj/6t03t/4 high c06s84xu3ej/4t03?ek3ek3zj4dk42u6eji6	共產黨 high 幹哪裡共產?個個富可敵國
small g6c.4g;3eji4w03wu6hji  easy qu cj xm,42u42u wu6s87w;6dk4	small 時候上過但是最 easy 被忽略的的是哪堂課
u.4ai6vup vu03bp6 pay 2j dj941u4d/ 2u ej84	有無新鮮人 pay 都會被坑的掛
u032l4c.4x96cjo41u04t/6ru8 ul4zj42j/3g4 long cji4ej3ej045j 5/ 	演到後來會變成家樂福董事 long 和股權之爭
ru b06ai 2l4a86fm,4bji4 ji3 small g6c.4u456a/6vu;3s96ai ai d0 	居然摸到麻雀惹 我 small 時候一直夢想能摸摸看
jo3ao6u.4vu04y94vul3q/6u.32.  good u.4ru032u 186ej84?	有沒有現在小朋友都 good 有錢的八卦?
vm06jo3ji3rul42o3cj8 s8 ak72ji fu06 buy j8  ep 1p387%	還有我覺得花那麼多前 buy 鞋 根本87%
ru g0 g84u,3ru8 wul a.6u04ak7 good fm,4ru841j4tj fm42u6ej84?	磯山沙也加條件這麼 good 卻嫁不出去的卦?
su3dk3u3fm4jp4 large ru.31l3a86xu3y7....	你可以去問 large 久保麻里子....
large 1l4u4？？	large 爆射？？
ao6vu;32l4g4wji6u,6 ck6 small g6c.4 full 1j4u vu;42k7	沒想到是他耶 和 small 時候 full 不一樣的
u.4ao6u.3 small tj6g su.6bj4au042u 18 ej84	有沒有 small 廚師牛肉麵的八卦
good vu;3fu/4h y4	good 想親柴柴
u.3dk3s/6g4j94x94tj/6 y94gjo3vu84cjo4t03g/ su06ai6 s94eji  good u45p4y3	有可能是外來種 在水下會產生黏膜 能活 good 一陣子
u6rup4vu n 103ru.4rul42k7 fast vu,4xul3。53ru0 u4tj m06xu4g032u04。	一進西斯板就覺得 fast 洩了。指尖洩出原力閃電。
overtime yj04fu06k3 cj06ul3jp4	overtime 賺錢阿 還要問
b41p32u6ejo4ejo4ru w965p 2u4u.4qu6rm,6 good e8 a87?	日本的娃娃機台真的有比較 good 夾嗎?
au3fu6xup6dk3vup42ji6 high a87??	米其林可信度 high 嗎??
ek4bp6t eji4rm,62k7vm06 good	個人吃過覺得還 good
ap4u.3fm42u4dk3u3vu;4 small gji x962.4，fm 54qo w9 u045j/3y9 1u4rul4dj nl4	滿有趣的可以像 small 說來讀，組織胚胎這種才比較枯燥
sm3u.3gji w8 1u 1u  good hot yp3ak7104	女友說她逼逼 good hot 怎麼辦
fm  open z;6ru0384	去 open 房間阿
windows2u62u04u/3m32u04g42; 04 location y94s87xu3	windows的電影與電視檔案 location 在哪裡
y4ru3 buy ek4 small 2u04z/ g04187	自己 buy 個 small 電風扇吧
s/6e.4fu 2l42;4t;3vu04 pull au04wul 2u4，w96j0 u.4u045j/42u04a87?	能夠吃到當場現 pull 麵條的，台灣有這種店嗎?
3 w.7z83 good al6	3 頭髮 good 毛
pull au04ru6eji3gl u4au04s/6z.3cj4vu; 1u3rm,6?	pull 麵及鍋燒意麵能否互相比較?
nji3n4BRTg4 good vm061j4cl3k3	所以BRT是 good 還不好阿
☺y94xu03gj qu  professor 5j4ck4g/ b4dj94xji42u68ej84？	☺在臉書被 professor 祝賀生日快樂的8卦？
el vm/6vu04y942. fm4bjo4z/  good a83…go6ep su3xu.4ck6xu.4dk4u,4zj6…	高雄現在都去瑞豐 good 嗎…誰跟你六合陸客夜市…
good 2u42j 5j/ dj8 aup6eji6？ bad 2u 2. w96j0 ？	good 的都中華民國？ bad 的都台灣？
su3zj rm,62k6n0 qj32l4vu04y94yji42k72j g4xo6g/ 284m32u03 small a84	你不覺得三普到現在做的都是雷聲大雨點 small 嗎
u.3vu;3aup65;41o41u45j/4u354 good 965/42u6xu4y7a83?	有鄉民長輩被中醫治 good 癌症的例子嗎?
5k45j/3 low ru, ej/ u,4n4j0 2k7 cost g4rup4d.32u 31o4	這種 low 階工業台灣的 cost 是進口的3倍
u.3jp4wu6ul au03zj6ru,4rm,6，ru.4dj945 2l4qu jp4fm 2u04sl4 5j; n3ru.4 good	有問題要免費解決，就會知道被問組電腦 裝死就 good
5 5;42l4su3 buy 1j4fu3	智障到你 buy 不起
good x87，g/ b4dj94xul6	good 啦，生日快樂
YGru842k7t;4ej/ fm,42. 1j4nj04 good w03LIVE2. 1j6vu jp3	YG家的唱功確都不算 good 但LIVE都不錯穩
u6s06z;6y75k4ak7 cheap jo6g86j6z83vu up3su06fu/4??	台南房子這麼 cheap 為啥無法吸引年輕??
vu;3a932.  buy 1j62l4	想買都 buy 不到
su3u.4j03gjo4xul3a87?2945j4 breakfast cjo6ru,7	你又晚睡了嗎?帶著 breakfast 回家
xu/4j940 5j; u6ek32u04xu.61ul3d04dj/42u04xu.6qu3rul4 good 5j8 jp42u4	另外安裝一個電流表監控電流比較 good 抓問題
u.4ao6jo3xo4ej32j04xul41j4rm 1j4ej/ 1j4Xej;4 photo 2k7?	有沒有肋骨斷了不告不公布X光 photo 的?
ao4ao42u6x03rul41u3ji3 long	妹妹的懶叫比我 long
u.4ao6u.4m,4ej/ g6n0 193 small g6u3g;42u4 job 18 ej84？	有沒有月工時三百 small 時以上的 job 八卦？
new j;3j;4fu0 2;4ao62ji ru.3w8 ru.4fm42k6eji6xk7	new 網王開場沒多久他就去德國了
njo6qu06 su.6b.4au041u4n94u.32k6au/42u 1u,6t ru.4 good	隨便 牛肉麵比賽有得名的別吃就 good
1j6ul4m0 ru.4 good xul3，su3wj/6g4u,31j4e03gji gp6ak7	不要穿就 good 了，你同事也不敢說甚麼
1u45/4ao4a84dl41o cp3gj; cp3 weird a83?u.4ao6jo3186ej84?	被正妹罵靠杯很爽很 weird 嗎?有沒有八卦?
w84qo4a942; xul6appt. 2u6 buy u6nj/4u4 a942;7xl6gjp4ru041u04cp3tl456	搭配麥當勞app抽的 buy 一送一 麥當勞瞬間變很超值
su3u62u/4y94vu;3cjo4 bad 2u6y4	你一定在想壞 bad 的事
q86w. q9 ji3d0 c932u4 photo nj/4ji3cl3a84	把偷拍我看海的 photo 送我好嗎
jo4gp6ak7 large Ocji4mp4s945o4ak7x04	為什麼 large O貨運能這麼爛
e0 su3su;6g4y94 fast n0  small 2k7x87	幹你娘是在 fast 三 small 的啦
e; 2u,6u/ vm/6e93t/6wj/62u,6u; vm/6dj94z. cjo4qu3rm,6 good ? (xo6	鋼鐵英雄改成銅鐵英雄會不會比較 good ? (雷
xu;6xu;6dk31j4dk3u3gji u vu84vu04y941031ul4u.4g4y94aj3a93g86 small	亮亮可不可以說一下現在版標又是在姆咪啥 small
ej03su3a8 yp3ak7s8 ak7 fast	幹你媽怎麼那麼 fast
ao3m,42j ao6fu0  pull !	每月都沒開 pull !
ao6bp6yji4ai6nji3jo4 w03g4u.3bp6ul3yji4vm061j6b;4 open 5p 2k7cp3c06su3su;6	沒人坐無所謂 但是有人要坐還不讓 open 真的很幹你娘
u.4ao6jo3vu; ej03vu3tj x94 photo 1j4vu;41p3bp62u 18 ej84	有沒有相館洗出來 photo 不像本人的八卦
wu6ru83u,3qu6xj3u6x 54gl3u.4wj/6j06	是甲也比魯蛇 good ㄌ 至少有洞玩
fm06xu06z.31i jp6 fast u ek4m,4xji6	全聯不發文 fast 一個月囉
ej/ vu 284284ck 2l4 good t86	恭喜大大喝到 good 茶
1j6ul4rup4fm 286bl31u,6bp6 good a86	不要進去打擾別人 good 嗎
21g4ru42u4w96j0  idol rm41845j3？	21世紀的台灣 idol 劇霸主？
gp6n0 vul3 z. sj3xu42j6gj 2u bp6u.4g6ak7 good h93z;32u4	神三小 不努力讀書的人有什麼 good 採訪的
wj ( ﾟдﾟ)wj ao6wj6dj4x06g8  small ej/4	凸( ﾟдﾟ)凸沒圖齁蘭沙 small 贛
rup wu0 z;4ru84u,6， good ru,6su06	今天放假耶， good 渴年
jo4g6ak7wj/4vm,6y94g;3dk4g6cjo4z8 tj  weird 2u4g/ up ？	為什麼同學在上課時會發出 weird 的聲音？
1u0 m06cji4w8 ru.4 good u.3t62u4vup jp41j4d041j450 vu6z.31i FB	邊緣化她就 good 有她的新聞不看不點擊不發FB
5j/4xu4xjp6w9 t;3284cji3~tl6u,3ao6wu3u ru.4x.6x.6 control	中壢輪胎廠大火~朝野媒體依舊牢牢 control
rul 5j3 good dl41o4XD	教主 good 靠北XD
w94z/ ru6wj062j 1j4m/4 open ru45k3cjo42l3fu042u4?	泰豐集團都不用 open 記者會道歉的?
sell 1l3u06gji 2u4cj84ep 5/4zj3gji 2u4cj842/3ru62. t841j72ji 	sell 保險說的話跟政府說的話等級都差不多
PTTcj04SSD disk g4z.3ru.4dk3u31j4m/4u6cj4ej84??????	PTT換SSD disk 是否就可以不用維護掛??????
su3wul62u4z. yp3vu;4 j;3xj4g;4e/ 2ji e/ 5/42u4 photo	你挑的不怎樣 網路上更多更正的 photo
u041j6g42u03t0 fu6g4tj06tj06 long a87?	這不是點兔騎士團團 long 嗎?
vu0 ru0 y94dl3 su.6q96c.42j4ul3e.4c.4vul4xji31u4rm,6 good	先煎再烤 牛排厚度要夠厚效果比較 good
u.45j/ ru0 2u 84 idea weird 2k7bp61j4vu/6a87？	有中間的啊 idea weird 的人不行嗎？
j94nj/4 hot u;687! 1l35/4g/ u tl3cl4	外送 hot 湯啊! 保證生意超好
dji4 buy s835j/3gj  2. wu6q04sji487	會 buy 那種書 都是潘那啊
q;6fu83 cheap 2ji 2u4fu06ru.4dk4a93au/6rm 	房價 cheap 多的錢就可買名車
vu/4 high ul4yp3ak7fm au/4	姓 high 要怎麼取名
b41p3au/4 el4j06nji gjo3 j94eji6au/6 high j06wj/4ao3aj4vu 7	日本名 高丸縮水 外國名 high 丸痛楣牧惜˙
g6j04cj/41u42u6 breakfast su3t eji4ao6u.4？	十萬港幣的 breakfast 你吃過沒有？
u.4ao6jo3100dk3u3y94 breakfast 2u04t cp3gj;32k7ej84~	有沒有100可以在 breakfast 店吃很爽的卦~
yl3j3h0 2u04wu6t vu4zp 2u4 b;4su3gj zj62k7tjo  cold fu4d0 y8654	早午餐店是吃氣氛的 讓你舒服的吹 cold 氣看雜誌
1u4u,4xjp4jp61u4 crypto yp3104	畢業論文被 crypto 怎辦
2;4ek3ful6l62 1u3tk4a 	當葛驕傲ㄉ肥宅， good ㄇ
b410318 t/6ul3g. xul3 ao6 new d83u4yjo zj4do 	日版八成要收了 沒 new 卡一堆復刻
agree u.4ao6cji6jo4 ej03g86tjo 	agree 又沒越位 幹啥吹
ji3ep su3ru;31i62u  ai6ru,3i7 94vup  location y94so4u4dj94ru.4wu6j6ru,3	我跟你講白的 無解喔 愛心 location 在那一塊就是無解
good i4!fu/3fu6t6zo4gj n3vu/6!	good 喔!請支持廢除死刑!
ep su3u u;4wl3u8 u045j/4xj04ru8 y42k7u/3qu04 94jp3 ru45k3u.4e.4 good cjp6	跟你依樣討厭這種亂加字的影片 礙眼 記者有夠 good 混
small g6c.4aj42j3zj4aj3fu/4vu. e04dji4jo32ji ru/ u84?	small 時候目睹父母親修幹會有多驚訝?
104u,4vu;31u4vm 2l4t84t8  easy a83？	半夜想被噓到叉叉 easy 嗎？
fu83g6sji4rm,6 new jp4wu6yp3ak7ej/ 2u6	卡提諾狂 new 聞是怎麼紅的
u;6g/4xup6ru.4g4dl4u04u6g.3y.3ru;42u  1j4b0654fu0653g4 small ru8 5j3t6bp6	楊丞琳就是靠這一首走紅的 不然之前只是 small 咖主持人
bp45p cjo6，ru8 vu j;3s06ek3 new g.32j 	認真回，嘉義往南蓋 new 首都
5; 2l41000m06，1j6g4ao6ru wjo3z04，wu6ao6bp6e03 buy XD	漲到1000元，不是沒雞腿飯，是沒人敢 buy XD
large a94dk4u h0 n0 ek3c961j61l3yp3104？？	large 麥克一餐三個還不飽怎辦？？
cj86hk410zp4 dk3u3g;3ru/3 large a87？	學測10分 可以上警 large 嗎？
hj ao6sm3g/ cp3 easy vup 2j/4a87	粗眉女生很 easy 心動嗎
u.4fu06h96dji4nj04ru4g4 xu04ru4g4cp3cj8 gjo3ru03 u6ul  buy u62jo j4y 	有錢才會選騎士 練騎士很花水錢 也要 buy 一堆物資
d04d04c06eji6 good a86 … w9 j0 gp6ak7u/6eji c06eji6	看看韓國 good 嗎 … 台灣甚麼贏過韓國
large ck6aup6y.4hji el 	large 和民族最高
ej035;3ru 54w94 care nj0 aup62k7nj0 u04	館長其實太 care 酸民的酸言
j94vu/ bp6 video 2j wu6vu842k7=ep 1p ao6jo3j94vu/ bp62jo4a87	外星人 video 都是假的=根本沒有外星人對嗎
ji3zj bp4jo6wu6ek62u6，up jo4m35.4w8  large xul4，vu/ fu.6w8 2ji xul4，gp6ak7	我不認為是假的，因為宇宙太 large 了，星球太多了，什麼
breakfast eji gl au04 2ji gl3ru03h96ck6xu3	breakfast 鍋燒麵 多少錢才合理
photo d0 fu3x94 good ji4 xji41u0 w0 gl3t 	photo 看起來 good 噁 路邊攤少吃
wj6qu04sk6z84vu/6u3ru/ 2ul3283cp32ji 53dji4ru032j03wu4 high 2u6u6s06xul4 good a87？	圖片那髮型已經屌打很多只會剪短剃 high 的台男了 good 嗎？
jo4g86vu;4aup6ru4rul42u g4 pay el 2u -6zo3zj4j4qup354?	為啥鄉民計較的是 pay 高低而非服務品質?
w9 j0 vu04y94cp32ji 2u  job ,u3c.4dj941u4ru fu4bp6fm 294,u,3ru.4g4gji 	台灣現在很多的 job ,以後會被機器人取代,也就是說
s061j4bp65p 2u  good z/ dj;6...zo42l4vul4	南部人真的 good 瘋狂...廢到笑
u.3ao6u.4qu 2k6 high 56ao3sm3ej u6b.62u4186ej84?	有沒有培德 high 職美女辜怡媃的八卦?
ptt large ru8 2j wul4hl6fm4 low fu83cjo4yp3vu;4?	ptt large 咖都跳槽去 low 卡會怎樣?
ji3u,3 fast ck4n3e03dj94u.6ap6ru8 nj4xl ql3...cp3q84ru83wj62.4QQ	我也 fast 嚇死趕快油門加速撈跑...很怕甲土豆QQ
fast wj/35/4vm0 5p 2u61j65 2l4y94e04n0 vul3	fast 桶承軒真的不知道在幹三小
zo62j4z. tj ap6g4ul3 buy n0 vul3tk ?	肥宅不出門是要 buy 三小車?
sk6ru8 2k7u.6x03rm yjo4 safe ?	哪家的遊覽車最 safe ?
vu04y942j d9 w9 m,4x96cji6 cheap njp up4m,4x94m,41i6e0 ejo4	現在都開台越來越 cheap 餐飲越來越爆幹貴
ru.4up3fu/6 buy 2k7u87！ej/ u/ g; t96u4vu84ru.4cl4 clear xul3	就引擎 buy 的呀！供應商查一下就好 clear 了
w9 j0 jp6rul4ej03 long v.s x94cji4y7vmp4 ul gp gjo6？	台灣文學館 long v.s 賴和子孫 要信誰？
ej04xji4up ru.45 2l4xul3，jp4ej03 long e0 a87，ul jp4z83g 187	觀落音就知道了，問館 long 幹嘛，要問法師吧
ao6qu4q04n3vu/65p 2u qu3rm,6 good a83?	沒被判死刑真的比較 good 嗎?
ai6ru wj6vu/6vu84g4ap6d03wu625 good a87 1u,6gji tj x94b;4bp6ru8 vul4	無期徒刑假釋門檻是25 good 嗎 別說出來讓人家笑
w94 large bji4yp3ai6104	太 large 惹怎摸辦
cp32ji bp62j g4y94m45j/4bp4g4e/4 large jo32u4 ao6vu k 	很多人都是在獄中認識更 large 尾的 沒錯阿
j3ej/  high 2u4bp65p 2u dk3u3m/42l 2;4ru04a83？	武功 high 的人真的可以用刀擋箭嗎？
hji rup4284ru8 2. y94w06『 large gji4rm4』??	最近大家都在談『 large 數據』??
yji4ek3 video ru.4dk3u3fm 1i6dj03j;350 qu04ru03xul3	做個 video 就可以去募款網站騙錢了
high 2u,650 2k7a83wj/3g4ru ru e03u/ tj/ gjo3a 	high 鐵站的馬桶是雞雞感應沖水ㄇ?
xu3au04jo3 small ru/4xu/6k4	裡面有 small 精靈啊
b;4j3al6 overtime 48vul3g6k3dk dk 	讓五毛 overtime 48小時阿顆顆
